Date,Special Period,Special Day,Day,Day #,Top 10 Gross,%?? YD,%?? LW,Releases,#1_Release,Gross,Link,
31-Dec-18,,New Year's Eve,Monday,365,"$36,240,441 ",-19.60%,-14.20%,53,Aquaman,"$10,011,638 ",https://www.rottentomatoes.com/m/Aquaman,
30-Dec-18,,,Sunday,364,"$50,932,176 ",-12.40%,2.90%,51,Aquaman,"$16,440,551 ",https://www.rottentomatoes.com/m/Aquaman,
29-Dec-18,,,Saturday,363,"$58,118,460 ",2.60%,4.60%,51,Aquaman,"$18,632,907 ",https://www.rottentomatoes.com/m/Aquaman,
28-Dec-18,,,Friday,362,"$56,667,767 ",9.70%,-2.90%,51,Aquaman,"$17,041,113 ",https://www.rottentomatoes.com/m/Aquaman,
27-Dec-18,,,Thursday,361,"$51,671,321 ",-7%,299.20%,53,Aquaman,"$14,622,228 ",https://www.rottentomatoes.com/m/Aquaman,
26-Dec-18,,,Wednesday,360,"$55,579,761 ",-21.60%,261.80%,52,Aquaman,"$16,903,518 ",https://www.rottentomatoes.com/m/Aquaman,
25-Dec-18,,Christmas Day,Tuesday,359,"$70,898,743 ",123.30%,396.60%,53,Aquaman,"$21,982,419 ",https://www.rottentomatoes.com/m/Aquaman,
24-Dec-18,,,Monday,358,"$31,752,644 ",-35.80%,184.50%,49,Aquaman,"$10,851,928 ",https://www.rottentomatoes.com/m/Aquaman,
23-Dec-18,,,Sunday,357,"$49,473,471 ",-10.90%,72.70%,53,Aquaman,"$18,793,733 ",https://www.rottentomatoes.com/m/Aquaman,
22-Dec-18,,,Saturday,356,"$55,554,266 ",-4.80%,29.80%,52,Aquaman,"$21,346,634 ",https://www.rottentomatoes.com/m/Aquaman,
21-Dec-18,,,Friday,355,"$58,331,971 ",350.70%,83.20%,53,Aquaman,"$27,733,155 ",https://www.rottentomatoes.com/m/Aquaman,
20-Dec-18,,,Thursday,354,"$12,943,731 ",-15.70%,145.90%,60,Mary_Poppins_Returns,"$4,051,124 ",https://www.rottentomatoes.com/m/Mary_Poppins_Returns,
19-Dec-18,,,Wednesday,353,"$15,362,046 ",7.60%,146.40%,63,Mary_Poppins_Returns,"$4,763,547 ",https://www.rottentomatoes.com/m/Mary_Poppins_Returns,
18-Dec-18,,,Tuesday,352,"$14,278,049 ",27.90%,61.10%,59,Spider-Man_Into_the_Spider-Verse,"$4,301,097 ",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,
17-Dec-18,,,Monday,351,"$11,160,534 ",-61%,104.50%,61,Spider-Man_Into_the_Spider-Verse,"$2,765,829 ",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,
16-Dec-18,,,Sunday,350,"$28,645,794 ",-33.10%,35.60%,62,Spider-Man_Into_the_Spider-Verse,"$9,685,478 ",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,
15-Dec-18,,,Saturday,349,"$42,788,962 ",34.40%,25.40%,65,Spider-Man_Into_the_Spider-Verse,"$13,012,817 ",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,
14-Dec-18,,,Friday,348,"$31,834,524 ",504.70%,71%,60,Spider-Man_Into_the_Spider-Verse,"$12,665,081 ",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,
13-Dec-18,,,Thursday,347,"$5,264,085 ",-15.60%,-25.30%,63,Dr_Seuss_the_Grinch,"$987,880 ",https://www.rottentomatoes.com/m/Dr_Seuss_the_Grinch,
12-Dec-18,,,Wednesday,346,"$6,234,474 ",-29.70%,-17.90%,64,Dr_Seuss_the_Grinch,"$970,245 ",https://www.rottentomatoes.com/m/Dr_Seuss_the_Grinch,
11-Dec-18,,,Tuesday,345,"$8,862,469 ",62.40%,-23.60%,61,Dr_Seuss_the_Grinch,"$1,533,720 ",https://www.rottentomatoes.com/m/Dr_Seuss_the_Grinch,
10-Dec-18,,,Monday,344,"$5,456,743 ",-74.20%,-18.50%,62,Dr_Seuss_the_Grinch,"$893,640 ",https://www.rottentomatoes.com/m/Dr_Seuss_the_Grinch,
