Date,Special Period,Special Day,Day,Day #,Top 10 Gross,%?? YD,%?? LW,Releases,#1_Release,Gross,Link
5/20/2020, Pandemic,,Wednesday,141,"$20,459 ",8.20%,-90.10%,2,The_Wretched,"$16,124 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/19/2020, Pandemic,,Tuesday,140,"$18,916 ",19.10%,43.60%,3,The_Wretched,"$14,885 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/18/2020, Pandemic,,Monday,139,"$15,884 ",-42%,NA,3,The_Wretched,"$12,625 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/17/2020, Pandemic,,Sunday,138,"$27,383 ",-47.60%,79.40%,3,The_Wretched,"$20,958 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/16/2020, Pandemic,,Saturday,137,"$52,267 ",17.50%,347.80%,3,The_Wretched,"$38,774 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/15/2020, Pandemic,,Friday,136,"$44,498 ",237.90%,50.10%,3,The_Wretched,"$32,243 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/14/2020, Pandemic,,Thursday,135,"$13,169 ",-17.10%,46.80%,4,The_Wretched,"$11,267 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/13/2020, Pandemic,,Wednesday,134,"$15,894 ",21.70%,-46.40%,4,The_Wretched,"$14,043 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/12/2020, Pandemic,,Tuesday,133,"$13,062 ",11.90%,45.60%,3,The_Wretched,"$11,658 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/11/2020, Pandemic,,Monday,132,"$11,672 ",-23.50%,29%,4,The_Wretched,"$9,695 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/10/2020, Pandemic,,Sunday,131,"$15,261 ",-61.40%,-0.50%,4,The_Wretched,"$12,806 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/9/2020, Pandemic,,Saturday,130,"$39,563 ",33.40%,21.90%,4,The_Wretched,"$32,653 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/8/2020, Pandemic,,Friday,129,"$29,655 ",230.60%,-6.50%,4,The_Wretched,"$24,149 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/7/2020, Pandemic,,Thursday,128,"$8,969 ",-0.90%,346.40%,2,The_Wretched,"$8,345 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/6/2020, Pandemic,,Wednesday,127,"$9,050 ",40.40%,-90.20%,2,The_Wretched,"$8,315 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/5/2020, Pandemic,,Tuesday,126,"$6,448 ",-16.70%,221%,2,The_Wretched,"$5,966 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/4/2020, Pandemic,,Monday,125,"$7,739 ",-49.50%,455.60%,2,The_Wretched,"$7,152 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/3/2020, Pandemic,,Sunday,124,"$15,331 ",-52.80%,524.50%,2,The_Wretched,"$12,605 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/2/2020, Pandemic,,Saturday,123,"$32,447 ",2.30%,2390.20%,2,The_Wretched,"$26,797 ",https://www.rottentomatoes.com/m/The_Wretched_2020
5/1/2020, Pandemic,,Friday,122,"$31,712 ",1478.50%,733.90%,2,The_Wretched,"$26,506 ",https://www.rottentomatoes.com/m/The_Wretched_2020
4/30/2020, Pandemic,,Thursday,121,"$2,009 ",44.20%,42.50%,2,True_History_of_the_Kelly_Gang,"$1,769 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/29/2020, Pandemic,,Wednesday,120,"$1,393 ",-4.80%,-88.50%,2,True_History_of_the_Kelly_Gang,"$1,156 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/28/2020, Pandemic,,Tuesday,119,"$1,464 ",12.40%,3.80%,2,True_History_of_the_Kelly_Gang,"$1,224 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/27/2020, Pandemic,,Monday,118,"$1,303 ",-46.90%,214.70%,2,True_History_of_the_Kelly_Gang,"$1,042 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/26/2020, Pandemic,,Sunday,117,"$2,455 ",-57.70%,24%,2,True_History_of_the_Kelly_Gang,"$1,906 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/25/2020, Pandemic,,Saturday,116,"$5,804 ",52.60%,1011.90%,2,True_History_of_the_Kelly_Gang,"$4,868 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/24/2020, Pandemic,,Friday,115,"$3,803 ",169.70%,193%,2,True_History_of_the_Kelly_Gang,"$3,065 ",https://www.rottentomatoes.com/m/True_History_of_the_Kelly_Gang
4/23/2020, Pandemic,,Thursday,114,"$1,410 ",240.60%,94.20%,2,Resistance,$705 ,https://www.rottentomatoes.com/m/Resistance_2020
4/22/2020, Pandemic,,Wednesday,113,$414 ,-65.50%,-92.10%,2,Resistance,$207 ,https://www.rottentomatoes.com/m/Resistance_2020
4/21/2020, Pandemic,,Tuesday,112,"$1,200 ",129.90%,78.60%,2,Resistance,$600 ,https://www.rottentomatoes.com/m/Resistance_2020
4/20/2020, Pandemic,,Monday,111,$522 ,-73.60%,-5.40%,2,Resistance,$261 ,https://www.rottentomatoes.com/m/Resistance_2020
4/19/2020, Pandemic,,Sunday,110,"$1,980 ",0.70%,251.10%,2,Resistance,$990 ,https://www.rottentomatoes.com/m/Resistance_2020
4/18/2020, Pandemic,,Saturday,109,"$1,967 ",51.50%,256.30%,3,Resistance,$909 ,https://www.rottentomatoes.com/m/Resistance_2020
4/17/2020, Pandemic,,Friday,108,"$1,298 ",78.80%,-7%,3,Resistance,$591 ,https://www.rottentomatoes.com/m/Resistance_2020
4/16/2020, Pandemic,,Thursday,107,$726 ,255.90%,144.40%,2,The_Other_Lamb,$363 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/15/2020, Pandemic,,Wednesday,106,$204 ,-69.60%,-26.90%,2,The_Other_Lamb,$102 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/14/2020, Pandemic,,Tuesday,105,$672 ,21.70%,-81.70%,2,The_Other_Lamb,$336 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/13/2020, Pandemic,,Monday,104,$552 ,-2.10%,85.90%,2,The_Other_Lamb,$276 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/12/2020, Pandemic,Easter Sunday,Sunday,103,$564 ,-51.50%,300%,2,The_Other_Lamb,$282 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/11/2020, Pandemic,,Saturday,102,"$1,164 ",-16.60%,569%,2,The_Other_Lamb,$582 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/10/2020, Pandemic,,Friday,101,"$1,395 ",369.70%,196.20%,2,Swallow,$846 ,https://www.rottentomatoes.com/m/Swallow
4/9/2020, Pandemic,,Thursday,100,$297 ,6.50%,-,1,The_Other_Lamb,$297 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/8/2020, Pandemic,,Wednesday,99,$279 ,60.30%,-40.80%,1,The_Other_Lamb,$279 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/7/2020, Pandemic,,Tuesday,98,$174 ,38.10%,-,1,The_Other_Lamb,$174 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/6/2020, Pandemic,,Monday,97,$126 ,-10.60%,-,1,The_Other_Lamb,$126 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/5/2020, Pandemic,,Sunday,96,$141 ,-75.80%,-,1,The_Other_Lamb,$141 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/4/2020, Pandemic,,Saturday,95,$582 ,23.60%,-,1,The_Other_Lamb,$582 ,https://www.rottentomatoes.com/m/The_Other_Lamb
4/3/2020, Pandemic,,Friday,94,$471 ,-,145.30%,1,The_Other_Lamb,$471 ,https://www.rottentomatoes.com/m/The_Other_Lamb
3/27/2020, Pandemic,,Friday,87,$192 ,700%,74.50%,1,Be_Natural_The_Untold_Story_of_Alice_Guy-Blach??,$192 ,https://www.rottentomatoes.com/m/Be_Natural_The_Untold_Story_of_Alice_Guy_Blach
3/26/2020, Pandemic,,Thursday,86,$24 ,-86.10%,-100%,2,Be_Natural_The_Untold_Story_of_Alice_Guy-Blach??,$24 ,https://www.rottentomatoes.com/m/Be_Natural_The_Untold_Story_of_Alice_Guy_Blach
3/25/2020, Pandemic,,Wednesday,85,$173 ,4225%,-96.90%,2,Be_Natural_The_Untold_Story_of_Alice_Guy-Blach??,$173 ,https://www.rottentomatoes.com/m/Be_Natural_The_Untold_Story_of_Alice_Guy_Blach
3/24/2020, Pandemic,,Tuesday,84,$4 ,-66.70%,-100%,1,The_Gentlemen,$4 ,https://www.rottentomatoes.com/m/The_Gentlemen
3/23/2020, Pandemic,,Monday,83,$12 ,-50%,-100%,1,The_Gentlemen,$12 ,https://www.rottentomatoes.com/m/The_Gentlemen
3/22/2020, Pandemic,,Sunday,82,$24 ,-77.40%,-100%,1,The_Gentlemen,$24 ,https://www.rottentomatoes.com/m/The_Gentlemen
3/21/2020, Pandemic,,Saturday,81,$106 ,-3.60%,-100%,1,The_Gentlemen,$106 ,https://www.rottentomatoes.com/m/The_Gentlemen
3/20/2020, Pandemic,,Friday,80,$110 ,-99.90%,-100%,1,The_Gentlemen,$110 ,https://www.rottentomatoes.com/m/The_Gentlemen
3/19/2020, Pandemic,,Thursday,79,"$143,641 ",-41.70%,-97.30%,37,Onward,"$33,296 ",https://www.rottentomatoes.com/m/Onward
3/18/2020, Pandemic,,Wednesday,78,"$246,568 ",-81.30%,-99.50%,39,Onward,"$61,529 ",https://www.rottentomatoes.com/m/Onward
3/17/2020, Pandemic,,Tuesday,77,"$1,321,687 ",-59.10%,-75.20%,41,Onward,"$346,334 ",https://www.rottentomatoes.com/m/Onward
3/16/2020, Pandemic,,Monday,76,"$3,234,151 ",-72.80%,-97.30%,47,Onward,"$753,347 ",https://www.rottentomatoes.com/m/Onward
3/15/2020, Pandemic,,Sunday,75,"$11,892,439 ",-39.70%,-50.80%,51,Onward,"$2,687,350 ",https://www.rottentomatoes.com/m/Onward
3/14/2020, Pandemic,,Saturday,74,"$19,710,626 ",9.60%,-50.30%,50,Onward,"$4,675,724 ",https://www.rottentomatoes.com/m/Onward
3/13/2020, Pandemic,,Friday,73,"$17,977,298 ",237.80%,-32.40%,52,I_Still_Believe,"$3,993,234 ",https://www.rottentomatoes.com/m/I_Still_Believe
3/12/2020, Pandemic,,Thursday,72,"$5,321,431 ",-95.60%,2.90%,54,Onward,"$1,872,846 ",https://www.rottentomatoes.com/m/Onward
3/11/2020,,,Wednesday,71,"$6,545,990 ",-41%,12.60%,55,Onward,"$2,202,553 ",https://www.rottentomatoes.com/m/Onward
3/10/2020,,,Tuesday,70,"$11,097,904 ",59.90%,13.60%,54,Onward,"$4,053,912 ",https://www.rottentomatoes.com/m/Onward
3/9/2020,,,Monday,69,"$6,938,657 ",-71.30%,21.20%,55,Onward,"$2,509,515 ",https://www.rottentomatoes.com/m/Onward
3/8/2020,,,Sunday,68,"$24,181,349 ",-39%,5.90%,55,Onward,"$10,508,942 ",https://www.rottentomatoes.com/m/Onward
3/7/2020,,,Saturday,67,"$39,626,466 ",49%,8.40%,55,Onward,"$16,514,193 ",https://www.rottentomatoes.com/m/Onward
3/6/2020,,,Friday,66,"$26,596,044 ",414%,10.30%,55,Onward,"$12,096,726 ",https://www.rottentomatoes.com/m/Onward
3/5/2020,,,Thursday,65,"$5,173,922 ",-11%,-7.10%,54,The_Invisible_Man,"$1,808,145 ",https://www.rottentomatoes.com/m/The_Invisible_Man
3/4/2020,,,Wednesday,64,"$5,814,048 ",-40.50%,-24.70%,53,The_Invisible_Man,"$1,997,250 ",https://www.rottentomatoes.com/m/The_Invisible_Man
3/3/2020,,,Tuesday,63,"$9,770,097 ",70.70%,2.30%,53,The_Invisible_Man,"$3,456,185 ",https://www.rottentomatoes.com/m/The_Invisible_Man
3/2/2020,,,Monday,62,"$5,723,972 ",-74.90%,4.20%,54,The_Invisible_Man,"$2,076,325 ",https://www.rottentomatoes.com/m/The_Invisible_Man
3/1/2020,,,Sunday,61,"$22,824,096 ",-37.60%,-3.90%,54,The_Invisible_Man,"$7,030,015 ",https://www.rottentomatoes.com/m/The_Invisible_Man
2/29/2020,,,Saturday,60,"$36,566,868 ",51.70%,-3.40%,56,The_Invisible_Man,"$11,195,770 ",https://www.rottentomatoes.com/m/The_Invisible_Man
2/28/2020,,,Friday,59,"$24,107,105 ",332.70%,-4.40%,55,The_Invisible_Man,"$9,979,880 ",https://www.rottentomatoes.com/m/The_Invisible_Man
2/27/2020,,,Thursday,58,"$5,570,828 ",-27.80%,-18.40%,57,The_Call_of_the_Wild,"$1,477,710 ",https://www.rottentomatoes.com/m/The_Call_of_the_Wild
2/26/2020,,,Wednesday,57,"$7,720,801 ",-19.20%,7.60%,56,My_Hero_Academia_Heroes_Rising,"$2,583,834 ",https://www.rottentomatoes.com/m/My_Hero_Academia_Heroes_Rising
2/25/2020,,,Tuesday,56,"$9,552,830 ",73.90%,-24.90%,58,The_Call_of_the_Wild,"$3,224,918 ",https://www.rottentomatoes.com/m/The_Call_of_the_Wild_2020
2/24/2020,,,Monday,55,"$5,494,739 ",-76.90%,-77%,55,The_Call_of_the_Wild,"$1,707,315 ",https://www.rottentomatoes.com/m/The_Call_of_the_Wild_2020
2/23/2020,,,Sunday,54,"$23,750,435 ",-37.30%,-36.30%,56,Sonic_the_Hedgehog,"$7,871,248 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/22/2020,,,Saturday,53,"$37,850,558 ",50.10%,-24.20%,56,Sonic_the_Hedgehog,"$11,961,933 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/21/2020,,,Friday,52,"$25,212,722 ",269.50%,-52.30%,55,The_Call_of_the_Wild,"$8,049,028 ",https://www.rottentomatoes.com/m/The_Call_of_the_Wild_2020
2/20/2020,,,Thursday,51,"$6,824,080 ",-4.90%,23.10%,53,Sonic_the_Hedgehog,"$2,551,581 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/19/2020,,,Wednesday,50,"$7,177,085 ",-43.60%,30.10%,53,Sonic_the_Hedgehog,"$2,665,678 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/18/2020,,,Tuesday,49,"$12,723,158 ",-46.80%,38.80%,53,Sonic_the_Hedgehog,"$5,082,338 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/17/2020,,Presidents' Day,Monday,48,"$23,909,360 ",11.70%,6.80%,54,Sonic_the_Hedgehog,"$11,983,726 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/16/2020,,,Sunday,47,"$37,275,206 ",-25.30%,74.20%,53,Sonic_the_Hedgehog,"$16,541,359 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/15/2020,,,Saturday,46,"$49,931,558 ",-5.40%,43.60%,51,Sonic_the_Hedgehog,"$20,552,625 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/14/2020,,,Friday,45,"$52,807,102 ",852.80%,111.60%,51,Sonic_the_Hedgehog,"$20,924,364 ",https://www.rottentomatoes.com/m/Sonic_the_Hedgehog_2020
2/13/2020,,,Thursday,44,"$5,542,278 ",0.40%,11.80%,43,Birds_of_Prey,"$1,780,686 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/12/2020,,,Wednesday,43,"$5,518,611 ",-39.80%,3.10%,45,Birds_of_Prey,"$1,826,055 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/11/2020,,,Tuesday,42,"$9,166,787 ",52.30%,6.90%,45,Birds_of_Prey,"$3,381,368 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/10/2020,,,Monday,41,"$6,019,469 ",-71.90%,14.40%,43,Birds_of_Prey,"$2,160,176 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/9/2020,,,Sunday,40,"$21,392,865 ",-38.50%,93%,46,Birds_of_Prey,"$7,851,604 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/8/2020,,,Saturday,39,"$34,783,042 ",39.40%,1.30%,47,Birds_of_Prey,"$12,193,732 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/7/2020,,,Friday,38,"$24,955,936 ",403.50%,28.30%,45,Birds_of_Prey,"$12,964,681 ",https://www.rottentomatoes.com/m/Birds_of_Prey_2020
2/6/2020,,,Thursday,37,"$4,956,835 ",-7.40%,-28.30%,44,Bad_Boys_for_Life,"$1,139,042 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
2/5/2020,,,Wednesday,36,"$5,350,307 ",-37.60%,-23.50%,47,Bad_Boys_for_Life,"$1,330,990 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
2/4/2020,,,Tuesday,35,"$8,578,443 ",63%,-26.40%,46,Bad_Boys_for_Life,"$2,284,757 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
2/3/2020,,,Monday,34,"$5,263,181 ",-52.50%,-26.50%,48,Bad_Boys_for_Life,"$1,507,928 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
2/2/2020,,,Sunday,33,"$11,085,633 ",-67.70%,-62.30%,49,Bad_Boys_for_Life,"$2,823,509 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
2/1/2020,,,Saturday,32,"$34,327,451 ",76.50%,-27.90%,50,Bad_Boys_for_Life,"$9,674,093 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/31/2020,,,Friday,31,"$19,449,993 ",181.30%,-31%,50,Bad_Boys_for_Life,"$5,185,357 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/30/2020,,,Thursday,30,"$6,914,416 ",-1.10%,-25.40%,48,Bad_Boys_for_Life,"$1,968,791 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/29/2020,,,Wednesday,29,"$6,989,955 ",-40%,-28.90%,49,Bad_Boys_for_Life,"$1,978,354 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/28/2020,,,Tuesday,28,"$11,655,746 ",62.80%,-29.90%,50,Bad_Boys_for_Life,"$3,546,220 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/27/2020,,,Monday,27,"$7,159,640 ",-75.60%,-79.30%,52,Bad_Boys_for_Life,"$2,227,287 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/26/2020,,,Sunday,26,"$29,370,097 ",-38.30%,-33.90%,48,Bad_Boys_for_Life,"$9,570,111 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/25/2020,,,Saturday,25,"$47,613,907 ",68.90%,-17.30%,49,Bad_Boys_for_Life,"$15,453,880 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/24/2020,,,Friday,24,"$28,191,638 ",204.30%,-39.80%,49,Bad_Boys_for_Life,"$8,987,723 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/23/2020,,,Thursday,23,"$9,264,156 ",-5.70%,-5%,49,Bad_Boys_for_Life,"$3,510,912 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/22/2020,,,Wednesday,22,"$9,825,130 ",-40.90%,-10.10%,50,Bad_Boys_for_Life,"$3,673,413 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/21/2020,,,Tuesday,21,"$16,627,732 ",-52%,8.20%,49,Bad_Boys_for_Life,"$6,425,896 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/20/2020,,MLK Day,Monday,20,"$34,640,444 ",-22.10%,293.90%,56,Bad_Boys_for_Life,"$10,529,839 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/19/2020,,,Sunday,19,"$44,445,163 ",-22.80%,39.80%,51,Bad_Boys_for_Life,"$17,185,773 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/18/2020,,,Saturday,18,"$57,594,448 ",23%,19.30%,49,Bad_Boys_for_Life,"$21,716,950 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/17/2020,,,Friday,17,"$46,818,973 ",380.20%,25.20%,48,Bad_Boys_for_Life,"$23,601,382 ",https://www.rottentomatoes.com/m/Bad_Boys_for_Life
1/16/2020,,,Thursday,16,"$9,749,145 ",-10.80%,18.80%,49,1917,"$3,055,675 ",https://www.rottentomatoes.com/m/1917_2019
1/15/2020,,,Wednesday,15,"$10,924,283 ",-28.90%,18.60%,50,1917,"$3,399,885 ",https://www.rottentomatoes.com/m/1917_2019
1/14/2020,,,Tuesday,14,"$15,364,359 ",74.70%,2.10%,48,1917,"$5,288,640 ",https://www.rottentomatoes.com/m/1917_2019
1/13/2020,,,Monday,13,"$8,794,486 ",-72.30%,-22.80%,49,1917,"$3,151,305 ",https://www.rottentomatoes.com/m/1917_2019
1/12/2020,,,Sunday,12,"$31,796,959 ",-34.10%,-4.50%,48,1917,"$9,294,845 ",https://www.rottentomatoes.com/m/1917_2019
1/11/2020,,,Saturday,11,"$48,273,391 ",29.10%,-9.30%,48,1917,"$13,742,670 ",https://www.rottentomatoes.com/m/1917_2019
1/10/2020,,,Friday,10,"$37,397,262 ",355.70%,-16.40%,49,1917,"$13,962,685 ",https://www.rottentomatoes.com/m/1917_2019
1/9/2020,,,Thursday,9,"$8,206,082 ",-10.90%,-74.20%,50,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$2,165,596 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/8/2020,,,Wednesday,8,"$9,214,776 ",-38.80%,-82.70%,49,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$2,403,487 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/7/2020,,,Tuesday,7,"$15,049,864 ",32.20%,-63.90%,50,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$3,981,109 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/6/2020,,,Monday,6,"$11,385,553 ",-65.80%,-73.70%,50,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$2,978,242 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/5/2020,,,Sunday,5,"$33,304,942 ",-37.40%,-41%,53,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$9,166,472 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/4/2020,,,Saturday,4,"$53,199,800 ",19%,-18.40%,51,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$14,319,903 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/3/2020,,,Friday,3,"$44,715,346 ",40.80%,-31.40%,50,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$11,038,440 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/2/2020,,,Thursday,2,"$31,762,542 ",-40.30%,-53.60%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$9,274,735 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
1/1/2020,,New Year's Day,Wednesday,1,"$53,187,474 ",1.10%,13.40%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$17,076,472 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
